REF_DATE,GEO,Type of crop,Average farm price (dollars per tonne),Average yield (kilograms per hectare),Production (metric tonnes),Seeded area (acres),Seeded area (hectares),Total farm value (dollars)
1908,AB,Barley,15,1585,84000,129800,53000,1296
1908,AB,Flaxseed,29,950,1900,5900,2000,56
1908,AB,Oats,18,1675,352000,519400,210000,6316
1908,AB,"Rye, all",23,1665,5000,6500,3000,117
1908,AB,Sugar beets,0.55,18100,38100,5200,2100,208
1908,AB,Tame hay,0.84,5050,101000,57100,20000,846
1908,AB,"Wheat, all",25,1690,186000,271000,110000,4617
1908,BC,Barley,0,0,0,0,0,0
1908,BC,Oats,0,0,0,0,0,0
1908,BC,"Wheat, all",0,0,0,0,0,0
1908,CA,Barley,21,1440,1016850,1745700,707100,21353
1908,CA,"Beans, all dry (white and coloured)",59,1395,33800,59900,24200,1988
1908,CA,Buckwheat,27,1320,155700,291300,117950,4269
1908,CA,Corn for grain,20,3935,580600,365800,147600,11834
1908,CA,Corn for silage,0.44,25360,2665000,259800,105100,11812
1908,CA,Flaxseed,38,680,38100,139300,56000,1457
1908,CA,Mixed grains,26,1650,388750,581900,235550,10140
1908,CA,Oats,25,1205,3861650,7911100,3200550,96489
1908,CA,"Peas, dry",31,1150,192100,412900,167050,5970
1908,CA,"Rye, all",29,1065,43902,100300,41281,1262
1908,CA,Sugar beets,0.58,22500,98900,10800,4400,578
1908,CA,Tame hay,1.17,3120,10388000,8210900,3326000,121884
1908,CA,"Wheat, all",30,1145,3060250,6610300,2676250,91228
1908,MA,Barley,18,1390,372000,662500,268000,6705
1908,MA,Flaxseed,38,790,7100,23400,9000,273
1908,MA,Oats,21,1290,690000,1322800,535000,14263
1908,MA,"Peas, dry",15,1415,850,1600,600,13
1908,MA,"Rye, all",20,1000,3000,6300,3000,61
1908,MA,Tame hay,0.82,3900,195000,119200,50000,1592
1908,MA,"Wheat, all",31,1145,1368000,2957000,1197000,41924
1908,MP,Barley,31,1525,11750,19000,7700,369
1908,MP,Mixed grains,27,1855,20850,27700,11250,556
1908,MP,Oats,31,1120,221450,487900,197450,6786
1908,MP,Tame hay,1.08,3470,2211000,1573800,637000,23955
1908,MP,"Wheat, all",38,1085,29950,68400,27650,1150
1908,NB,Barley,32,1215,1700,3500,1400,55
1908,NB,"Beans, all dry (white and coloured)",77,1125,900,2000,800,69
1908,NB,Buckwheat,27,1375,34250,61700,24950,909
1908,NB,Corn for silage,0.39,22860,8000,900,350,31
1908,NB,Mixed grains,27,1440,3100,5300,2150,85
1908,NB,Oats,33,945,78000,203900,82500,2539
1908,NB,"Peas, dry",43,590,650,2700,1100,28
1908,NB,"Rye, all",29,1260,102,200,81,3
1908,NB,Tame hay,1.03,3010,845000,694500,281000,8664
1908,NB,"Wheat, all",42,1165,9500,20200,8150,402
1908,NS,Barley,33,1550,6050,9600,3900,202
1908,NS,"Beans, all dry (white and coloured)",81,1200,1500,3100,1250,121
1908,NS,Buckwheat,30,1340,9800,18000,7300,295
1908,NS,Corn for silage,0.33,16920,11000,1600,650,36
1908,NS,Mixed grains,30,1785,5350,7400,3000,161
1908,NS,Oats,34,1210,65450,133900,54200,2224
1908,NS,"Peas, dry",45,915,550,1500,600,25
1908,NS,"Rye, all",27,1000,300,700,300,8
